0,32400,1,1.0
613,244,6,76.0
624,251,6,77.0
635,236,6,78.0
667,232,6,80.0
677,232,6,81.0
688,238,6,82.0
709,236,6,84.0
719,240,6,85.0
730,243,6,86.0
751,234,6,88.0
762,235,6,89.0
773,293,6,90.0
794,234,6,92.0
804,310,6,93.0
815,341,6,94.0
858,250,6,96.0
869,227,3,97.0
881,226,2,98.0
901,224,1,100.0
912,354,1,101.0
923,222,1,102.0
1807,237,6,104.0
1819,253,6,105.0
1829,234,6,106.0
1851,234,6,108.0
1863,239,6,109.0
1874,235,6,110.0
1897,234,6,112.0
1910,236,6,113.0
1921,231,6,114.0
1943,235,6,116.0
1954,232,6,117.0
1965,359,6,118.0
1988,290,6,120.0
1999,235,6,121.0
2009,232,6,122.0
2031,243,6,124.0
2042,235,6,125.0
2054,247,3,126.0
2076,225,1,128.0
2086,375,1,129.0
2098,229,1,130.0
2619,33,1,132.0
2628,34,1,133.0
2636,33,1,134.0
2981,251,6,136.0
2992,231,6,137.0
3004,232,6,138.0
3027,240,6,140.0
3038,248,6,141.0
3049,239,6,142.0
3071,238,6,144.0
3081,238,6,145.0
3092,230,6,146.0
3114,237,6,148.0
3125,232,6,149.0
3136,298,6,150.0
3170,237,6,152.0
3181,357,6,153.0
3191,238,6,154.0
3213,234,6,156.0
3224,232,6,157.0
3235,422,3,158.0
3256,223,1,160.0
3268,223,1,161.0
3279,225,1,162.0
3751,33,1,164.0
3761,33,1,165.0
3771,33,1,166.0
4161,232,6,168.0
4172,236,6,169.0
4183,237,6,170.0
4205,244,6,172.0
4216,236,6,173.0
4227,234,6,174.0
4249,235,6,176.0
4260,233,6,177.0
4271,232,6,178.0
4292,238,6,180.0
4304,375,6,181.0
4315,251,6,182.0
4336,231,6,184.0
4347,240,6,185.0
4358,238,6,186.0
4379,291,6,188.0
4390,240,6,189.0
4401,235,6,190.0
4423,344,2,192.0
4434,225,1,193.0
4445,224,1,194.0
4466,222,1,196.0
5337,232,6,197.0
5348,238,6,198.0
5370,237,6,200.0
5380,235,6,201.0
5391,237,6,202.0
5411,405,6,204.0
5421,232,6,205.0
5430,356,6,206.0
5449,234,6,208.0
5458,235,6,209.0
5467,231,6,210.0
5486,232,6,212.0
5495,242,6,213.0
5504,233,6,214.0
5523,235,6,216.0
5533,232,6,217.0
5544,343,6,218.0
5562,229,3,220.0
5571,226,2,221.0
5581,405,1,222.0
5599,222,1,224.0
5609,222,1,225.0
6477,231,6,226.0
6496,235,6,228.0
6506,288,6,229.0
6515,295,6,230.0
6534,373,6,232.0
6543,251,6,233.0
6552,236,6,234.0
6571,248,6,236.0
6580,231,6,237.0
6589,239,6,238.0
6609,232,6,240.0
6619,238,6,241.0
6628,234,6,242.0
6646,233,6,244.0
6656,348,6,245.0
6666,234,6,246.0
6686,235,6,248.0
6695,304,3,249.0
6704,225,2,250.0
6723,224,1,252.0
6732,223,1,253.0
6741,223,1,254.0
8477,288,6,256.0
8487,293,6,257.0
8496,308,6,258.0
8516,341,6,260.0
8525,247,6,261.0
8534,233,6,262.0
8566,236,6,264.0
8576,240,6,265.0
8586,234,6,266.0
8604,236,6,268.0
8614,234,6,269.0
8693,236,6,270.0
8711,231,6,272.0
8721,230,6,273.0
8730,232,6,274.0
8749,348,6,276.0
8759,286,6,277.0
8769,227,3,278.0
8787,226,1,280.0
8796,222,1,281.0
8806,304,1,282.0
10542,230,6,284.0
10551,300,6,285.0
10560,401,6,286.0
10579,249,6,288.0
10588,231,6,289.0
10597,233,6,290.0
10616,240,6,292.0
10625,232,6,293.0
10634,239,6,294.0
10653,235,6,296.0
10662,235,6,297.0
10671,235,6,298.0
10690,237,6,300.0
10699,234,6,301.0
10709,239,6,302.0
10727,371,6,304.0
10736,287,6,305.0
10746,414,6,306.0
10765,225,2,308.0
10774,224,1,309.0
10784,223,1,310.0
10802,224,1,312.0
12529,234,6,313.0
12538,249,6,314.0
12556,251,6,316.0
12566,235,6,317.0
12575,346,6,318.0
12594,362,6,320.0
12603,231,6,321.0
12612,237,6,322.0
12631,235,6,324.0
12641,236,6,325.0
12650,233,6,326.0
12669,236,6,328.0
12678,232,6,329.0
12687,341,6,330.0
12706,232,6,332.0
12715,254,6,333.0
12724,234,6,334.0
12743,376,3,336.0
12753,225,2,337.0
12762,225,1,338.0
12781,223,1,340.0
12789,222,1,341.0
14517,237,6,342.0
14535,234,6,344.0
14545,287,6,345.0
14554,318,6,346.0
14574,231,6,348.0
14583,235,6,349.0
14592,236,6,350.0
14611,375,6,352.0
14620,232,6,353.0
14629,249,6,354.0
14648,232,6,356.0
14657,412,6,357.0
14666,341,6,358.0
14685,237,6,360.0
14695,238,6,361.0
14705,234,6,362.0
14724,237,6,364.0
14734,226,3,365.0
14744,224,2,366.0
14766,224,1,368.0
14775,222,1,369.0
14784,225,1,370.0
16525,235,6,372.0
16535,237,6,373.0
16545,276,6,374.0
16565,398,6,376.0
16575,306,6,377.0
16585,287,6,378.0
16604,248,6,380.0
16613,241,6,381.0
16623,233,6,382.0
16642,235,6,384.0
16652,236,6,385.0
16661,356,6,386.0
16680,258,6,388.0
16689,236,6,389.0
16699,237,6,390.0
16718,246,6,392.0
16727,231,6,393.0
16737,307,3,394.0
16756,226,1,396.0
16765,224,1,397.0
16774,223,1,398.0
18511,235,6,400.0
18521,237,6,401.0
18530,233,6,402.0
18549,242,6,404.0
18559,413,6,405.0
18569,237,6,406.0
18587,288,6,408.0
18596,310,6,409.0
18606,248,6,410.0
18626,399,6,412.0
18635,239,6,413.0
18645,235,6,414.0
18664,234,6,416.0
18673,235,6,417.0
18683,232,6,418.0
18701,230,6,420.0
18711,284,6,421.0
18720,235,6,422.0
18739,225,2,424.0
18749,224,1,425.0
18759,223,1,426.0
18776,225,1,428.0
20504,236,6,429.0
20514,242,6,430.0
20533,374,6,432.0
20543,361,6,433.0
20552,239,6,434.0
20571,290,6,436.0
20580,338,6,437.0
20589,245,6,438.0
20608,236,6,440.0
20617,235,6,441.0
20626,236,6,442.0
20645,233,6,444.0
20654,236,6,445.0
20664,412,6,446.0
20682,238,6,448.0
20691,234,6,449.0
20701,232,6,450.0
20720,238,3,452.0
20730,224,2,453.0
20739,224,1,454.0
20758,222,1,456.0
20768,225,1,457.0
22496,234,6,458.0
22514,291,6,460.0
22524,396,6,461.0
22534,252,6,462.0
22552,290,6,464.0
22561,236,6,465.0
22571,239,6,466.0
22589,237,6,468.0
22599,230,6,469.0
22608,238,6,470.0
22626,237,6,472.0
22636,336,6,473.0
22645,238,6,474.0
22664,237,6,476.0
22673,356,6,477.0
22682,245,6,478.0
22701,230,6,480.0
22710,226,3,481.0
22720,232,2,482.0
22739,226,1,484.0
22748,223,1,485.0
22757,222,1,486.0
24506,299,6,488.0
24515,251,6,489.0
24524,238,6,490.0
24543,242,6,492.0
24552,237,6,493.0
24561,257,6,494.0
24581,245,6,496.0
24591,234,6,497.0
24601,291,6,498.0
24619,237,6,500.0
24629,237,6,501.0
24638,394,6,502.0
24656,240,6,504.0
24666,232,6,505.0
24675,334,6,506.0
24694,354,6,508.0
24703,305,3,509.0
24713,228,2,510.0
24732,223,1,512.0
24741,223,1,513.0
24750,222,1,514.0
26486,237,6,516.0
26496,241,6,517.0
26506,234,6,518.0
26524,248,6,520.0
26534,232,6,521.0
26556,240,6,522.0
26575,296,6,524.0
26584,306,6,525.0
26594,244,6,526.0
26613,238,6,528.0
26622,240,6,529.0
26631,289,6,530.0
26651,237,6,532.0
26660,245,6,533.0
26671,334,6,534.0
26691,248,6,536.0
26700,394,6,537.0
26711,233,3,538.0
26731,229,1,540.0
26740,223,1,541.0
26749,222,1,542.0
28486,234,6,544.0
28494,234,6,545.0
28505,257,6,546.0
28524,240,6,548.0
28534,368,6,549.0
28543,232,6,550.0
28561,355,6,552.0
28571,246,6,553.0
28581,307,6,554.0
28600,232,6,556.0
28609,290,6,557.0
28618,247,6,558.0
28636,231,6,560.0
28646,236,6,561.0
28655,234,6,562.0
28674,241,6,564.0
28684,235,6,565.0
28693,234,6,566.0
28713,228,2,568.0
28722,225,1,569.0
28731,223,1,570.0
28749,224,1,572.0
30476,234,6,573.0
30486,236,6,574.0
30504,418,6,576.0
30514,233,6,577.0
30523,234,6,578.0
30541,332,6,580.0
30551,234,6,581.0
30561,248,6,582.0
30579,239,6,584.0
30589,236,6,585.0
30599,396,6,586.0
30617,289,6,588.0
30626,365,6,589.0
30637,238,6,590.0
30656,235,6,592.0
30666,237,6,593.0
30675,233,6,594.0
30694,227,3,596.0
30704,225,2,597.0
30714,224,1,598.0
30732,223,1,600.0
30741,222,1,601.0
32469,236,6,602.0
32488,242,6,604.0
32497,235,6,605.0
32506,234,6,606.0
32526,240,6,608.0
32535,238,6,609.0
32544,237,6,610.0
32572,324,6,612.0
32591,289,6,613.0
32600,241,6,614.0
32619,397,6,616.0
32628,288,6,617.0
32636,233,6,618.0
32655,325,6,620.0
32665,233,6,621.0
32674,236,6,622.0
32693,301,2,624.0
32702,224,1,625.0
32712,225,1,626.0
32731,223,1,628.0
